rank,name,confed,off,def,spi
1,Spain,UEFA,3.34,0.44,92.35
2,Brazil,CONMEBOL,3.12,0.37,92.06
3,Belgium,UEFA,2.99,0.57,88.13
4,Germany,UEFA,3.14,0.68,87.5
5,Argentina,CONMEBOL,2.55,0.4,87.13
6,France,UEFA,2.73,0.51,86.84
7,Portugal,UEFA,2.62,0.45,86.71
8,England,UEFA,2.6,0.5,85.63
9,Netherlands,UEFA,2.6,0.51,85.48
10,Italy,UEFA,2.42,0.49,83.96
11,Colombia,CONMEBOL,2.26,0.42,83.37
12,Uruguay,CONMEBOL,2.37,0.6,81.05
13,Switzerland,UEFA,2.41,0.68,79.98
14,Croatia,UEFA,2.45,0.81,77.85
15,Denmark,UEFA,2.07,0.58,77.3
16,Chile,CONMEBOL,2.23,0.7,77.1
17,Mexico,CONCACAF,2.24,0.73,76.63
18,Russia,UEFA,2.21,0.77,75.34
19,Austria,UEFA,2.1,0.69,75.24
20,Norway,UEFA,2.11,0.8,73.07
21,Poland,UEFA,1.95,0.69,72.93
22,Serbia,UEFA,2.15,0.86,72.38
23,Algeria,CAF,1.98,0.76,71.73
24,Ecuador,CONMEBOL,1.98,0.79,71.18
25,Czech Republic,UEFA,2.04,0.84,71.07
26,Sweden,UEFA,1.89,0.73,70.9
27,Peru,CONMEBOL,1.91,0.75,70.88
28,Ukraine,UEFA,1.82,0.71,70.18
29,Japan,AFC,1.9,0.78,69.85
30,Morocco,CAF,1.75,0.67,69.81
31,USA,CONCACAF,1.84,0.75,69.54
32,Venezuela,CONMEBOL,1.85,0.76,69.5
33,Senegal,CAF,1.69,0.67,68.74
34,Paraguay,CONMEBOL,1.75,0.73,68.42
35,Iran,AFC,1.74,0.73,68.21
36,Mali,CAF,1.68,0.69,68.05
37,Turkey,UEFA,1.85,0.82,68.04
38,Australia,AFC,1.92,0.9,67.34
39,Ghana,CAF,1.59,0.65,67.33
40,Wales,UEFA,1.59,0.66,67.08
41,Bosnia and Herzegovina,UEFA,1.79,0.94,64.01
42,Tunisia,CAF,1.61,0.79,63.98
43,Greece,UEFA,1.54,0.74,63.87
44,Ivory Coast,CAF,1.64,0.84,63.53
45,South Korea,AFC,1.48,0.74,62.52
46,Nigeria,CAF,1.79,1.04,61.68
47,Finland,UEFA,1.59,0.93,60.27
48,Canada,CONCACAF,1.82,1.16,59.71
49,Israel,UEFA,1.77,1.12,59.61
50,Romania,UEFA,1.62,0.99,59.57
51,Slovenia,UEFA,1.48,0.86,59.52
52,Scotland,UEFA,1.51,0.89,59.47
53,Iraq,AFC,1.46,0.86,59.17
54,Iceland,UEFA,1.6,1.0,58.86
55,Costa Rica,CONCACAF,1.5,0.91,58.84
56,Egypt,CAF,1.49,0.91,58.7
57,Hungary,UEFA,1.51,0.96,57.92
58,Qatar,AFC,1.65,1.09,57.77
59,Rep of Ireland,UEFA,1.32,0.81,57.28
60,Burkina Faso,CAF,1.38,0.9,56.54
61,Slovakia,UEFA,1.64,1.16,56.09
62,Cameroon,CAF,1.17,0.73,55.59
63,Guinea,CAF,1.49,1.05,55.25
64,Zambia,CAF,1.64,1.2,55.18
65,Uganda,CAF,1.23,0.8,55.18
66,Uzbekistan,AFC,1.52,1.11,54.49
67,Northern Ireland,UEFA,1.35,0.95,54.27
68,Honduras,CONCACAF,1.57,1.18,53.93
69,Congo DR,CAF,1.44,1.09,53.09
70,Saudi Arabia,AFC,1.57,1.22,53.09
71,Georgia,UEFA,1.37,1.04,52.71
72,Panama,CONCACAF,1.32,1.0,52.36
73,Bolivia,CONMEBOL,1.52,1.21,52.22
74,Kosovo,UEFA,1.38,1.13,50.97
75,Haiti,CONCACAF,1.47,1.23,50.56
76,China PR,AFC,1.2,1.02,49.21
77,Benin,CAF,1.25,1.07,49.12
78,Belarus,UEFA,1.21,1.04,48.79
79,Zimbabwe,CAF,1.35,1.19,48.75
80,Bahrain,AFC,1.13,0.97,48.51
81,Gabon,CAF,1.14,0.99,48.46
82,FYR Macedonia,UEFA,1.35,1.22,48.09
83,Albania,UEFA,1.14,1.01,47.85
84,Montenegro,UEFA,1.24,1.12,47.8
85,South Africa,CAF,1.31,1.2,47.72
86,Jamaica,CONCACAF,1.31,1.22,47.08
87,Kenya,CAF,1.13,1.05,46.82
88,Libya,CAF,1.35,1.28,46.76
89,Bulgaria,UEFA,1.15,1.12,45.45
90,Congo,CAF,1.25,1.24,45.36
91,Togo,CAF,1.15,1.15,44.74
92,Tanzania,CAF,1.21,1.23,44.52
93,New Zealand,OFC,1.26,1.3,44.18
94,Guatemala,CONCACAF,1.26,1.3,44.15
95,Armenia,UEFA,1.49,1.57,43.94
96,Angola,CAF,1.15,1.2,43.69
97,El Salvador,CONCACAF,1.07,1.15,42.72
98,Cape Verde Islands,CAF,1.12,1.23,42.49
99,Curacao,CONCACAF,1.29,1.47,41.53
100,Jordan,AFC,0.96,1.08,41.38
101,Madagascar,CAF,1.28,1.47,41.32
102,Mozambique,CAF,1.14,1.3,41.23
103,Oman,AFC,1.08,1.24,41.19
104,Mauritania,CAF,1.01,1.21,39.93
105,Gambia,CAF,1.12,1.39,39.0
106,Malawi,CAF,0.65,0.81,38.99
107,Luxembourg,UEFA,1.19,1.48,38.86
108,United Arab Emirates,AFC,1.06,1.33,38.83
109,Namibia,CAF,0.81,1.02,38.51
110,Kuwait,AFC,1.06,1.34,38.47
111,Equatorial Guinea,CAF,0.98,1.29,37.6
112,Liberia,CAF,1.05,1.37,37.46
113,Trinidad and Tobago,CONCACAF,1.09,1.44,37.24
114,Botswana,CAF,0.74,1.01,36.94
115,Kazakhstan,UEFA,1.02,1.38,36.7
116,Syria,AFC,1.39,1.84,36.68
117,Rwanda,CAF,0.76,1.07,36.2
118,Sudan,CAF,0.91,1.29,35.66
119,Estonia,UEFA,0.95,1.38,34.88
120,Cyprus,UEFA,0.98,1.43,34.7
121,Cuba,CONCACAF,0.89,1.31,34.58
122,Azerbaijan,UEFA,0.9,1.35,34.12
123,Lithuania,UEFA,1.03,1.55,33.6
124,Bermuda,CONCACAF,1.19,1.82,32.69
125,St. Kitts and Nevis,CONCACAF,1.15,1.76,32.67
126,Lesotho,CAF,0.85,1.37,32.54
127,Guinea-Bissau,CAF,0.96,1.52,32.38
128,Lebanon,AFC,0.58,1.02,32.11
129,Vietnam,AFC,0.68,1.19,31.55
130,Dominican Republic,CONCACAF,1.1,1.78,31.24
131,Nicaragua,CONCACAF,0.88,1.5,30.87
132,Burundi,CAF,0.77,1.38,30.44
133,Central African Republic,CAF,1.04,1.75,30.27
134,Sierra Leone,CAF,0.97,1.67,30.11
135,Comoros,CAF,0.93,1.63,29.77
136,Thailand,AFC,0.9,1.59,29.77
137,Ethiopia,CAF,0.73,1.36,29.68
138,North Korea,AFC,0.87,1.59,28.99
139,Niger,CAF,0.85,1.58,28.75
140,Palestine,AFC,0.77,1.47,28.47
141,Moldova,UEFA,0.81,1.55,28.12
142,Kyrgyzstan,AFC,0.85,1.62,28.08
143,Faroe Islands,UEFA,0.87,1.7,27.34
144,Latvia,UEFA,0.82,1.65,26.9
145,Turkmenistan,AFC,0.87,1.73,26.68
146,Fiji,OFC,0.67,1.45,26.35
147,Martinique,CONCACAF,0.94,1.85,26.34
148,Chad,CAF,0.86,1.78,25.76
149,Guyana,CONCACAF,1.13,2.22,25.06
150,Belize,CONCACAF,0.79,1.73,24.84
151,Suriname,CONCACAF,0.76,1.71,24.52
152,Antigua and Barbuda,CONCACAF,1.09,2.2,24.48
153,Solomon Islands,OFC,0.69,1.71,22.71
154,Zanzibar,CAF,0.49,1.47,21.39
155,South Sudan,CAF,0.71,1.84,21.37
156,New Caledonia,OFC,0.69,1.85,20.92
157,Malaysia,AFC,0.76,1.98,20.71
158,Swaziland,CAF,0.61,1.73,20.63
159,Barbados,CONCACAF,0.54,1.61,20.53
160,Dominica,CONCACAF,0.55,1.65,20.29
161,Puerto Rico,CONCACAF,0.74,2.0,19.89
162,Eritrea,CAF,0.79,2.1,19.77
163,Tahiti,OFC,0.81,2.15,19.56
164,Philippines,AFC,0.72,2.02,19.31
165,Malta,UEFA,0.65,1.96,18.54
166,India,AFC,0.54,1.82,17.9
167,Singapore,AFC,0.65,2.05,17.47
168,Tajikistan,AFC,0.68,2.12,17.11
169,Sao Tome and Principe,CAF,0.76,2.33,16.53
170,St. Vincent and the Grenadines,CONCACAF,0.7,2.23,16.4
171,Hong Kong,AFC,0.34,1.57,16.04
172,Grenada,CONCACAF,0.68,2.22,16.04
173,Vanuatu,OFC,0.64,2.17,15.99
174,Mauritius,CAF,0.7,2.31,15.5
175,St. Lucia,CONCACAF,0.64,2.24,15.12
176,Liechtenstein,UEFA,0.62,2.25,14.62
177,Gibraltar,UEFA,0.54,2.12,14.54
178,Yemen,AFC,0.51,2.09,14.29
179,Andorra,UEFA,0.27,1.82,11.79
180,Afghanistan,AFC,0.53,2.46,11.07
181,Aruba,CONCACAF,0.64,2.76,10.68
182,Indonesia,AFC,0.62,2.83,9.93
183,Myanmar,AFC,0.57,2.71,9.91
184,Montserrat,CONCACAF,0.81,3.24,9.65
185,Djibouti,CAF,0.62,2.86,9.59
186,Cayman Islands,CONCACAF,0.4,2.41,9.43
187,Papua New Guinea,OFC,0.6,2.88,9.16
188,Somalia,CAF,0.55,2.8,8.97
189,Bahamas,CONCACAF,0.73,3.44,7.5
190,Seychelles,CAF,0.41,2.8,7.04
191,Maldives,AFC,0.41,2.81,7.01
192,Bangladesh,AFC,0.25,2.46,6.78
193,French Guiana,CONCACAF,0.52,3.18,6.57
194,Nepal,AFC,0.23,2.48,6.39
195,Mongolia,AFC,0.25,2.72,5.41
196,San Marino,UEFA,0.28,2.95,4.8
197,Chinese Taipei,AFC,0.45,3.48,4.58
198,British Virgin Islands,CONCACAF,0.42,3.62,3.88
199,Bonaire,CONCACAF,0.37,3.59,3.5
200,Cambodia,AFC,0.28,3.35,3.44
201,Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
202,Guam,AFC,0.51,4.42,2.48
203,Guadeloupe,CONCACAF,0.2,3.49,2.47
204,Anguilla,CONCACAF,0.35,4.08,2.29
205,Brunei,AFC,0.21,3.71,2.13
206,US Virgin Islands,CONCACAF,0.38,4.38,1.93
207,Sri Lanka,AFC,0.2,3.81,1.87
208,Pakistan,AFC,0.2,3.92,1.71
209,Laos,AFC,0.21,4.11,1.48
210,Bhutan,AFC,0.22,4.62,0.98
211,St. Martin,CONCACAF,0.23,4.89,0.81
212,Sint Maarten,CONCACAF,0.21,4.93,0.74
213,Tuvalu,OFC,0.38,5.62,0.7
214,Timor-Leste,AFC,0.33,5.56,0.64
215,Macau,AFC,0.2,5.11,0.6
216,Samoa,OFC,0.2,5.78,0.34
217,Tonga,OFC,0.2,6.08,0.26
